effect	estimate	se	df	t_value	p_value	roi	atlas
condition2	0.324250430232978	0.062336154670106	3225.47423339722	5.20164312266242	2.09863306945824e-07	35	DKT
task2	-1.67426436742192	0.0503250830921727	3863.94663229764	-33.2689836667616	1.2313166278823e-213	35	DKT
task3	-1.74746919737501	0.0509219972748854	3672.97906667602	-34.3165879362877	4.16406963286726e-224	35	DKT
condition2:task2	-0.337830756720243	0.064206436473134	3225.4742322922	-5.26163380616212	1.52108308668501e-07	35	DKT
condition2:task3	-0.438017276689689	0.0674064374942567	3225.47423364783	-6.49815200109055	9.38543721578797e-11	35	DKT
(Intercept)	0.178918192396266	0.0382811266327583	3983.35348366806	4.67379641442318	3.05458512541272e-06	36	DKT
condition2	0.0135175232558476	0.0482528515391985	3237.29733289463	0.280139366372298	0.779388482137134	36	DKT
task2	-0.0783649741709973	0.0389822445825853	3863.57165570125	-2.01027352350064	0.0444716221793765	36	DKT
task3	-0.0741772750169376	0.0394347141706349	3676.06240312388	-1.88101464856499	0.0600489007821444	36	DKT
condition2:task2	0.0216315050727618	0.049700589704242	3237.2973350309	0.435236386559725	0.663419867711214	36	DKT
condition2:task3	0.0481871007598996	0.0521776301154558	3237.29732866696	0.923520302728849	0.355804952060825	36	DKT
(Intercept)	-0.0129641016608792	0.0437190540368282	3983.71396962564	-0.296532071575895	0.766839236227646	39	DKT
condition2	-0.0693216511627937	0.055259972541568	3233.92040795902	-1.25446408990971	0.209764028461976	39	DKT
task2	0.0718311361063332	0.0445538437374408	3871.29411381278	1.6122320787773	0.10699295991138	39	DKT
task3	0.146414360564035	0.0451038672863721	3682.07890315915	3.24615979455654	0.00118020795425467	39	DKT
condition2:task2	0.0306101157520293	0.0569179464994944	3233.92040768011	0.537793747571361	0.590756454734043	39	DKT
condition2:task3	0.18154777911555	0.0597546946033208	3233.92040841099	3.03821783912959	0.00239883713264549	39	DKT
(Intercept)	0.0830286846941201	0.0831736306220658	3982.72903102326	0.998257309115141	0.318215248306406	40	DKT
condition2	0.142252558139567	0.103105932947769	3243.07761955469	1.3796738371169	0.167782206684529	40	DKT
task2	0.30984276832967	0.0842399961182467	3810.46595484496	3.67809570996119	0.000238225741771624	40	DKT
task3	0.591908825881472	0.0848689610854974	3632.57334339166	6.97438519702368	3.63407182586238e-12	40	DKT
condition2:task2	0.0597995459680772	0.106199437049794	3243.07761942656	0.563087221828104	0.573414417744011	40	DKT
condition2:task3	0.25873955997067	0.111492337974831	3243.07761887966	2.32069364290379	0.0203651113253467	40	DKT
(Intercept)	-0.168677912476181	0.0882522466670102	3985.46654773982	-1.91131578907707	0.0560356655498313	42	DKT
condition2	0.00304225581396599	0.107811129094288	3242.73573154803	0.0282183837561457	0.977489711372647	42	DKT
task2	-0.708831132127103	0.0888530253636811	3759.11761797027	-7.97756890354394	1.96423842740702e-15	42	DKT
task3	0.301336480264905	0.089233911310484	3592.05720801116	3.37692784995631	0.000740796555399826	42	DKT
condition2:task2	0.219680431154866	0.111045803962766	3242.73573160481	1.97828664672936	0.0479808840728487	42	DKT
condition2:task3	0.203843939067922	0.116580244208814	3242.73573216326	1.74852901065128	0.0804670884199067	42	DKT
(Intercept)	0.00794107281142136	0.0292387600967163	3963.25987040614	0.271594034259791	0.78594833276	43	DKT
condition2	0.0355122674418581	0.0374826292000371	3199.10652760524	0.947432669473009	0.343489908853929	43	DKT
task2	-0.0129959978348148	0.0299026256720031	3885.18724644398	-0.434610591637193	0.663869242315175	43	DKT
task3	-0.00882469946002343	0.0303904786553706	3690.84328995739	-0.290377113177319	0.77154406436708	43	DKT
condition2:task2	-0.016854335915467	0.0386151303722564	3199.10652811432	-0.436469740047188	0.66252540372463	43	DKT
condition2:task3	-0.0638038899715023	0.0405429776141704	3199.10652747768	-1.57373468171716	0.115647684372739	43	DKT
(Intercept)	-0.00342011884627014	0.0373185269537876	3987.47908429946	-0.0916466732597819	0.926983371116081	44	DKT
condition2	0.0324962441860653	0.0453000422806184	3235.99386417531	0.717355714256557	0.473206414662914	44	DKT
task2	0.184523301928489	0.0374618855785525	3733.88091249879	4.92562771677813	8.77346854992849e-07	44	DKT
task3	0.389847015922011	0.03757584128084	3570.85981088455	10.3749377960247	7.24781342924922e-25	44	DKT
condition2:task2	0.00377747890175266	0.0466591868284688	3235.9938635049	0.0809589527489976	0.935479602766501	44	DKT
condition2:task3	0.13870674400291	0.0489846459833051	3235.99386568647	2.83163716341206	0.00465964923862621	44	DKT
(Intercept)	-0.107418753904833	0.0703386417155437	3986.59086087109	-1.52716559894979	0.126799169000717	45	DKT
condition2	0.0289638023256061	0.0898176378631885	3249.91022788815	0.322473436339131	0.747114801398684	45	DKT
task2	0.0733338480308993	0.0718624273858116	3902.99822565035	1.0204755210562	0.307566241027587	45	DKT
task3	0.367508345021105	0.0729533556005729	3716.73113999059	5.03757972468396	4.93882245635305e-07	45	DKT
condition2:task2	0.101695598524251	0.0925124510831486	3249.91022896063	1.09926390808572	0.271734394271717	45	DKT
condition2:task3	0.102541093343685	0.0971232028113885	3249.91022546105	1.05578368891744	0.291145529209548	45	DKT
(Intercept)	0.0757637427895914	0.0416125458230535	3983.2177066837	1.82069472778131	0.068728270827396	46	DKT
condition2	0.0965356627907198	0.0522304661624398	3248.9899345815	1.84826347309419	0.0646550532156321	46	DKT
task2	0.0677543321127419	0.0423220924515758	3853.06509744907	1.6009211309735	0.109476367422055	46	DKT
task3	0.247845151218214	0.0427666857483341	3670.16594517314	5.7952854396221	7.39498540872273e-09	46	DKT
condition2:task2	-0.0331142229890199	0.0537975453469716	3248.98993461495	-0.615534087576804	0.53824517854075	46	DKT
condition2:task3	0.0190365498077069	0.0564787749790853	3248.98993498956	0.337056705191575	0.736095924928683	46	DKT
(Intercept)	-0.0244578091579363	0.0365601418361171	3984.79749986103	-0.668974679244129	0.503550383740691	47	DKT
condition2	0.0364401744186047	0.0464035149804347	3240.31127010002	0.785289097904955	0.43234149917429	47	DKT
task2	-0.150295492606366	0.0372985479656635	3884.77200564218	-4.02952663853633	5.69591760473962e-05	47	DKT
task3	-0.143903136716217	0.0378012695836816	3696.41134632046	-3.80683342916975	0.000143039247612288	47	DKT
condition2:task2	0.0259665890374854	0.0477957671994517	3240.31127052292	0.543282189176437	0.586972895717666	47	DKT
condition2:task3	-0.155249946072149	0.0501778726743068	3240.31126914853	-3.09399218814717	0.00199166603802088	47	DKT
(Intercept)	0.0663568080707992	0.0828085874712927	3991.49164929471	0.801327617063908	0.42298970510004	48	DKT
condition2	0.00649229069773936	0.0996353352918515	3240.4229143911	0.0651605244135744	0.948050210683357	48	DKT
task2	0.485743234119613	0.0827569903552649	3704.73154368177	5.86951304094532	4.75459706046521e-09	48	DKT
task3	1.08794519098643	0.0828769828993455	3550.77717297348	13.1272296954601	1.7844103472506e-38	48	DKT
condition2:task2	0.140287899812171	0.102624710487051	3240.42291287743	1.36699922607696	0.171720371613648	48	DKT
condition2:task3	0.307052990798324	0.10773944969997	3240.42291884866	2.8499587816106	0.00440010585148497	48	DKT
(Intercept)	0.130985861971888	0.0430597071799266	3984.31021689018	3.04195895769932	0.00236574825930364	49	DKT
condition2	-0.0106873837208722	0.0546052510660596	3231.77175849878	-0.195720805457757	0.844841003523233	49	DKT
task2	0.0133495849361858	0.0439196708348485	3880.60348325055	0.303954576216756	0.761178794044964	49	DKT
task3	-0.0585640528730932	0.0445010439416683	3690.0760341908	-1.31601525909951	0.18825066646481	49	DKT
condition2:task2	0.0398300664404194	0.0562435813089033	3231.77175928718	0.708170879476238	0.478890219104158	49	DKT
condition2:task3	0.0679038030122096	0.0590467195533908	3231.77175657145	1.15000127908562	0.250228434774257	49	DKT
(Intercept)	-0.0965184463128387	0.0702312186150967	3999.02005852535	-1.3742954802167	0.169426980660594	50	DKT
condition2	0.0202922209302537	0.0832437814354429	3243.1075389501	0.243768610463602	0.807425450874767	50	DKT
task2	-0.039530382995352	0.0695932017034116	3655.8102628159	-0.568020755300502	0.570055758483911	50	DKT
task3	0.932464213905224	0.0695300449150254	3516.58918213125	13.4109537113749	4.94409387082058e-40	50	DKT
condition2:task2	0.199035701166063	0.0857413581701305	3243.10753889012	2.32134999274365	0.0203296417492796	50	DKT
condition2:task3	0.233919763321719	0.0900146436656072	3243.10753953822	2.59868565597727	0.00940051931734287	50	DKT
(Intercept)	0.239421541731597	0.0552150548766517	3984.22281973481	4.3361641542593	1.48575501822324e-05	51	DKT
condition2	0.200874895348856	0.0700108767095997	3230.05482986125	2.86919554203086	0.00414189212109071	51	DKT
task2	-0.188734557953379	0.0563159468552626	3879.89560880319	-3.35135194367672	0.000811873707874073	51	DKT
task3	-0.478330420232513	0.057059439257463	3688.92605956772	-8.38301999559084	7.24674465014523e-17	51	DKT
