contrast	estimate	se	df	z_ratio	p_value	roi	atlas
criticalAlice vs. criticalLang	-0.0283958064044578	0.0315508805715466	Inf	-0.900000440243366	0.368120016409033	58	Glasser
criticalAlice vs. criticalMD	-0.114195486780013	0.0320742604978568	Inf	-3.5603466769762	0.000370365511222444	58	Glasser
criticalLang vs. criticalMD	-0.0857996803755554	0.0139004843558905	Inf	-6.17242379321814	6.72509456413691e-10	58	Glasser
criticalAlice vs. criticalLang	-0.275246210488009	0.0522315042334574	Inf	-5.2697354695693	1.3662050660432e-07	59	Glasser
criticalAlice vs. criticalMD	-0.38443175070406	0.0526403194058618	Inf	-7.30299046516141	2.81441134460644e-13	59	Glasser
criticalLang vs. criticalMD	-0.10918554021605	0.0226683045462133	Inf	-4.81666107817886	1.45980328303385e-06	59	Glasser
criticalAlice vs. criticalLang	-0.420456378297865	0.0516394367365037	Inf	-8.14215655455914	3.88298714808268e-16	60	Glasser
criticalAlice vs. criticalMD	-0.783242949786299	0.0518490790014043	Inf	-15.1062075714997	1.47381439966771e-51	60	Glasser
criticalLang vs. criticalMD	-0.362786571488433	0.0222653528261231	Inf	-16.2937715077566	1.09277398785292e-59	60	Glasser
criticalAlice vs. criticalLang	-0.0038638574392775	0.0529104228534611	Inf	-0.0730263950068725	0.941785113404079	61	Glasser
criticalAlice vs. criticalMD	0.530677340939637	0.0538681902830999	Inf	9.85140466295052	6.75926202545593e-23	61	Glasser
criticalLang vs. criticalMD	0.534541198378914	0.0233710811128498	Inf	22.8719072000916	8.8480580938807e-116	61	Glasser
criticalAlice vs. criticalLang	0.0664310827177466	0.0670014687402901	Inf	0.991486962401461	0.321447855458066	62	Glasser
criticalAlice vs. criticalMD	0.724629742166666	0.0678172714694539	Inf	10.6850323887338	1.19607299297696e-26	62	Glasser
criticalLang vs. criticalMD	0.658198659448919	0.0292971018773845	Inf	22.4663402613555	8.85982470188104e-112	62	Glasser
criticalAlice vs. criticalLang	0.0763919969413706	0.0692458599794461	Inf	1.10319948317554	0.269940545733567	63	Glasser
criticalAlice vs. criticalMD	0.731070330016409	0.0702691119740409	Inf	10.4038646494705	2.38077096133752e-25	63	Glasser
criticalLang vs. criticalMD	0.654678333075038	0.0304137042956531	Inf	21.5257676838993	8.93287853551871e-103	63	Glasser
criticalAlice vs. criticalLang	-0.0763945652084265	0.056079122861696	Inf	-1.36226391052572	0.173114612726378	64	Glasser
criticalAlice vs. criticalMD	0.38819207900778	0.0568331216955325	Inf	6.83038459663381	8.46872824954184e-12	64	Glasser
criticalLang vs. criticalMD	0.464586644216206	0.0245994948561313	Inf	18.8860237550939	1.4862823809989e-79	64	Glasser
criticalAlice vs. criticalLang	0.347380835015351	0.0836612932177607	Inf	4.15222884627373	3.29252763211571e-05	65	Glasser
criticalAlice vs. criticalMD	1.64353331895991	0.0849820673564179	Inf	19.3397662599436	2.48599380049122e-83	65	Glasser
criticalLang vs. criticalMD	1.29615248394455	0.0368512345858214	Inf	35.1725660893666	5.25401779464607e-271	65	Glasser
criticalAlice vs. criticalLang	0.311184688411006	0.0789502560219402	Inf	3.94152855342898	8.09639945458192e-05	66	Glasser
criticalAlice vs. criticalMD	1.66282984952237	0.0800855919241045	Inf	20.7631586353036	9.32326435675743e-96	66	Glasser
criticalLang vs. criticalMD	1.35164516111137	0.0346926686492616	Inf	38.9605416284438	0	66	Glasser
criticalAlice vs. criticalLang	-0.180443724689832	0.117143787136052	Inf	-1.54036103067303	0.123472374826846	67	Glasser
criticalAlice vs. criticalMD	0.336196867905224	0.117623866383376	Inf	2.85823683783226	0.0042600230162112	67	Glasser
criticalLang vs. criticalMD	0.516640592595056	0.0505122168777222	Inf	10.228032435118	1.48505851411404e-24	67	Glasser
criticalAlice vs. criticalLang	0.31697035308342	0.0884097540214528	Inf	3.58524188413086	0.000336765932558855	68	Glasser
