roi	atlas	hemi	ROIName	lobe
150	Glasser	left	PGi	Parietal, Occipital, Temporal
157	Glasser	left	FST	Occipital
161	Glasser	left	31pd	Parietal, Limbic
165	Glasser	left	s32	Frontal, Limbic
166	Glasser	left	pOFC	Limbic
169	Glasser	left	FOP5	Frontal
172	Glasser	left	TGv	Temporal
175	Glasser	left	A4	Temporal
176	Glasser	left	STSva	Temporal
177	Glasser	left	TE1m	Temporal
178	Glasser	left	PI	Temporal
209	Glasser	right	3b	Parietal
210	Glasser	right	FEF	Frontal
211	Glasser	right	PEF	Frontal
212	Glasser	right	55b	Frontal
226	Glasser	right	SFL	Frontal
228	Glasser	right	STV	Temporal
243	Glasser	right	SCEF	Frontal
251	Glasser	right	1	Parietal
256	Glasser	right	6v	Frontal
266	Glasser	right	47m	Frontal
269	Glasser	right	9m	Frontal
270	Glasser	right	8BL	Frontal
274	Glasser	right	44	Frontal
275	Glasser	right	45	Frontal
278	Glasser	right	6r	Frontal
279	Glasser	right	IFJa	Frontal
280	Glasser	right	IFJp	Frontal
281	Glasser	right	IFSp	Frontal
282	Glasser	right	IFSa	Frontal
288	Glasser	right	10v	Frontal
293	Glasser	right	OFC	Frontal
307	Glasser	right	TA2	Temporal
323	Glasser	right	STGa	Temporal
325	Glasser	right	A5	Temporal
328	Glasser	right	STSda	Temporal
329	Glasser	right	STSdp	Temporal
330	Glasser	right	STSvp	Temporal
331	Glasser	right	TGd	Temporal
332	Glasser	right	TE1a	Temporal
333	Glasser	right	TE1p	Temporal
335	Glasser	right	TF	Temporal
337	Glasser	right	PHT	Temporal, Occipital
339	Glasser	right	TPOJ1	Temporal
340	Glasser	right	TPOJ2	Temporal
341	Glasser	right	TPOJ3	Occipital
372	Glasser	right	TGv	Temporal
375	Glasser	right	A4	Temporal
376	Glasser	right	STSva	Temporal
377	Glasser	right	TE1m	Temporal
