effect	estimate	se	df	t_value	p_value	roi	atlas
(Intercept)	0.944216790697695	0.0709853255449426	316.062417649367	13.3015772407762	2.29550208364903e-32	5	GSS
condition2	1.3746030348837	0.0759961169318816	794.058656457124	18.0878061982537	1.68541600873737e-61	5	GSS
task2	-0.519000273435079	0.0627568990608907	796.82087910914	-8.2700114441842	5.59475051619901e-16	5	GSS
task3	-0.941988202387995	0.0726298664956801	794.752784185197	-12.9697085763475	4.9567539014796e-35	5	GSS
condition2:task2	-0.26440671345513	0.0880135385641916	794.058656437425	-3.00415956190977	0.00274684668767032	5	GSS
condition2:task3	-1.55263288250275	0.102497538629975	794.058656275887	-15.1480016325845	1.01064316072811e-45	5	GSS
(Intercept)	1.16938812790699	0.0622842759705495	554.527923486014	18.7750135918723	3.0415886435308e-61	4	GSS
condition2	1.43424723255812	0.0768958830278389	792.478695982297	18.6518078222586	1.20283999208921e-64	4	GSS
task2	-0.876619525734094	0.0634408447124528	798.637944081599	-13.8179043754444	4.26594032985731e-39	4	GSS
task3	-1.36113219034784	0.0734726475252718	794.037135760163	-18.5256995112318	5.91008077855267e-64	4	GSS
condition2:task2	-0.415194700812092	0.0890555865158818	792.478696018237	-4.66219714063697	3.67014556235909e-06	4	GSS
condition2:task3	-1.63992492779622	0.103711071819584	792.478695903759	-15.8124383349256	3.72506475553472e-49	4	GSS
(Intercept)	0.844927441860447	0.115559708020049	263.299164583392	7.31160935188464	3.17109680849888e-12	3	GSS
condition2	1.06146773255813	0.11621495762379	795.112626301571	9.13365847444794	5.38558132068446e-19	3	GSS
task2	0.354529686953362	0.0959868791486992	797.22484069804	3.69352238657679	0.000236256950514225	3	GSS
task3	0.263582290991841	0.111072316848725	795.642739350292	2.37306917213969	0.0178776559912044	3	GSS
condition2:task2	0.265275672203772	0.134592266914446	795.112626346897	1.97095775474526	0.049075157372302	3	GSS
condition2:task3	-0.866021427796226	0.15674152297942	795.112626486828	-5.52515639336957	4.46283869549521e-08	3	GSS
(Intercept)	1.27932439534882	0.0766884453821516	383.501687114813	16.6821010515174	2.29032018718777e-47	10	GSS
condition2	1.10988527906978	0.086493617939684	785.300955366836	12.8319904463212	2.35496539057803e-34	10	GSS
task2	-0.953428024929483	0.0715576548620441	788.530410635486	-13.323913797449	1.12418290880064e-36	10	GSS
task3	-1.23123327821162	0.0826605099947019	786.197624248681	-14.8950602686886	2.20741519682854e-44	10	GSS
condition2:task2	-0.522304813482734	0.100428668251065	785.300955435392	-5.20075415295766	2.5342521945656e-07	10	GSS
condition2:task3	-1.18509173621263	0.116655735897209	785.300955332603	-10.1588809765589	7.28622092161696e-23	10	GSS
(Intercept)	1.32927968604652	0.0773856852736651	415.825864953146	17.1773330086266	2.29673711063475e-50	9	GSS
condition2	1.46554036046512	0.0892409329669884	782.546557674912	16.4222886487219	2.69047593612241e-52	9	GSS
task2	-1.26913564902434	0.0738492512740581	786.138811680456	-17.1854910798556	1.93542939925794e-56	9	GSS
task3	-1.53996152771065	0.0852836986565444	783.563530265008	-18.0569270794926	3.32453140097811e-61	9	GSS
condition2:task2	-0.733942425505773	0.103672981928985	782.546557591081	-7.0793992016986	3.22380744806153e-12	9	GSS
condition2:task3	-1.68281979856036	0.120361096638104	782.54655770263	-13.9814262711496	8.15356545554571e-40	9	GSS
(Intercept)	1.01157395348836	0.103328865607895	386.395219145172	9.78984863074957	2.30962198048119e-20	2	GSS
condition2	1.259810872093	0.117282263471605	792.511043474237	10.7416998512994	3.20225078492104e-25	2	GSS
task2	-0.238792069829087	0.0968259039952236	796.216514382339	-2.46620026228587	0.0138651700708103	2	GSS
task3	-0.679144150152973	0.112080080687744	793.443861439565	-6.05945450775571	2.10904945036712e-09	2	GSS
