contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice critical vs. baseline	1.3746030348837	0.0759961169318817	795.10679856134	18.0878061982537	1.63878527875954e-61	1	NA
Lang critical vs. baseline	1.11019632142857	0.0443956437262285	795.106798561155	25.0068751852038	2.78825018345254e-102	1	NA
MD critical vs. baseline	-0.178029847619048	0.0687774355183362	795.106798561202	-2.58849208722801	0.00981578493115411	1	NA
Alice critical vs. baseline	1.43424723255812	0.0768958830278389	795.480594096799	18.6518078222586	1.10076857411928e-64	2	NA
Lang critical vs. baseline	1.01905253174603	0.044921271832581	795.480594096846	22.6853000855359	2.97019130604434e-88	2	NA
MD critical vs. baseline	-0.205677695238098	0.069591735079217	795.480594096799	-2.95549026050253	0.00321392915845013	2	NA
Alice critical vs. baseline	1.06146773255813	0.11621495762379	795.064754230894	9.13365847444794	5.38621750974702e-19	3	NA
Lang critical vs. baseline	1.32674340476191	0.067890808933687	795.064754230847	19.5423125103402	9.34534364531704e-70	3	NA
MD critical vs. baseline	0.195446304761908	0.105175988944288	795.064754230801	1.85827874521282	0.0634988502096434	3	NA
Alice critical vs. baseline	1.10988527906978	0.0864936179396839	785.162796276974	12.8319904463212	2.35777215873198e-34	4	NA
Lang critical vs. baseline	0.587580465587042	0.0510369617276192	785.162796277109	11.5128417855851	1.88743784552527e-28	4	NA
MD critical vs. baseline	-0.0752064571428577	0.0782778051137319	785.162796277109	-0.960763488878977	0.336966871235894	4	NA
Alice critical vs. baseline	1.46554036046512	0.0892409329669884	783.201430824097	16.4222886487219	2.65536509349353e-52	5	NA
Lang critical vs. baseline	0.731597934959351	0.052764979534055	783.201430823962	13.8652178285632	2.9796510690059e-39	5	NA
MD critical vs. baseline	-0.217279438095239	0.0807641595456085	783.201430823962	-2.69029529085286	0.00729094032301713	5	NA
Alice critical vs. baseline	1.259810872093	0.117282263471605	795.182615766498	10.7416998512994	3.16413254486048e-25	6	NA
Lang critical vs. baseline	1.26726876984127	0.0685143109240454	795.182615766544	18.4964097682623	8.36104129158665e-64	6	NA
MD critical vs. baseline	0.0771606571428571	0.106141914074282	795.182615766498	0.726957468365017	0.467465962781416	6	NA
Alice critical vs. baseline	1.24641910465116	0.112839866751309	767.171881692524	11.0459108162382	1.99388384580959e-26	7	NA
Lang critical vs. baseline	0.626050201680671	0.0678302334442755	767.17188169261	9.22966308519325	2.58989245778293e-19	7	NA
MD critical vs. baseline	-0.14789918095238	0.102121489527447	767.17188169261	-1.44826697727152	0.147950959729444	7	NA
Alice critical vs. baseline	0.57369969767442	0.092831254721626	791.101697078522	6.1800273991209	1.02540360201349e-09	8	NA
Lang critical vs. baseline	0.871620475999998	0.0544469356116379	791.101697078431	16.0086231889549	3.55244778180867e-50	8	NA
MD critical vs. baseline	0.116646638095238	0.0840134456004604	791.101697078431	1.38842821243126	0.165397501301069	8	NA
Alice critical vs. baseline	0.289951244186051	0.0337696884371976	779.223490873419	8.58613915628155	4.85426696445211e-17	10	NA
Lang critical vs. baseline	0.29656856557377	0.0200484760586075	779.223490873374	14.7925739944929	8.03778318338442e-44	10	NA
MD critical vs. baseline	-0.0241258761904768	0.0305619900428003	779.22349087333	-0.789407893814829	0.43011377429106	10	NA
Alice critical vs. baseline	1.03092825581396	0.0955530008689228	785.163905113683	10.7890725193253	2.11492219420267e-25	11	NA
Lang critical vs. baseline	0.975592591093116	0.0563825975195899	785.163905113819	17.30307992203	4.52599381198671e-57	11	NA
MD critical vs. baseline	-0.20824102857143	0.0864766598764054	785.163905113773	-2.40806049712203	0.0162670877917818	11	NA
Alice critical vs. baseline	0.243772953488366	0.035650804474531	755.073375813376	6.83779670841699	1.66045798556139e-11	12	NA
Lang critical vs. baseline	0.312389284482759	0.0217057385480505	755.073375813293	14.3920136046611	1.11695598076612e-41	12	NA
MD critical vs. baseline	0.0491691809523807	0.0322644235641891	755.073375813293	1.52394419365838	0.127941351287923	12	NA
Alice critical vs. baseline	0.036851976744186	0.0957884175393457	773.050736643242	0.384722680370503	0.700548704510866	13	NA
Lang critical vs. baseline	0.304055742738589	0.0572207706965025	773.050736643286	5.31373029474372	1.40610790788841e-07	13	NA
MD critical vs. baseline	0.329735799999996	0.0866897149050519	773.050736643286	3.80363230356847	0.000153837206309001	13	NA
Alice critical vs. baseline	-0.016317302325583	0.116999038356798	765.05918705586	-0.139465268730005	0.889119203914033	14	NA
Lang critical vs. baseline	0.273975502109705	0.0704786123697712	765.059187055903	3.88735664476867	0.00011013653189672	14	NA
MD critical vs. baseline	0.253120371428571	0.105885591806023	765.059187055903	2.39050816179292	0.0170659811932604	14	NA
Alice critical vs. baseline	0.172456383720935	0.0566420986831028	761.127353929789	3.04466797188752	0.00240964877083125	15	NA
Lang critical vs. baseline	0.259851514893617	0.0342653072808788	761.127353929789	7.58351625927553	9.81141630227119e-14	15	NA
MD critical vs. baseline	0.154361047619047	0.0512618071432808	761.127353929832	3.0112291435141	0.00268800286352485	15	NA
Alice critical vs. baseline	0.971001558139534	0.144760517493195	789.484374293371	6.70764083297216	3.77038477296462e-11	16	NA
Lang critical vs. baseline	1.01194061044177	0.08507455361538	789.484374293325	11.894750750227	3.9709107389275e-30	16	NA
MD critical vs. baseline	-0.808985161904763	0.131010077349259	789.484374293417	-6.17498423230521	1.05810336060727e-09	16	NA
Alice critical vs. baseline	0.0189117674418634	0.0948351624104395	777.043289610837	0.199417251588759	0.84198853733741	17	NA
Lang critical vs. baseline	0.313945790123456	0.0564177135059665	777.04328961097	5.56466702767482	3.61643055541318e-08	17	NA
MD critical vs. baseline	0.293514009523807	0.0858270071009198	777.04328961097	3.41983274773497	0.000659284501256418	17	NA
Alice critical vs. baseline	0.443231488372093	0.0959391534985519	759.187729422714	4.61992285953183	4.50889137803012e-06	18	NA
Lang critical vs. baseline	0.39736314957265	0.0581617116751324	759.187729422756	6.83204015370384	1.71796754372596e-11	18	NA
MD critical vs. baseline	-0.534733009523811	0.0868261328318243	759.187729422756	-6.15866435695747	1.18869201170252e-09	18	NA
