task	condition	emmean	se	df	lowCI	highCI	roi	atlas
Alice	baseline	-0.0798662209302319	0.0353901299256792	569.751150480351	-0.149377262977503	-0.0103551788829605	27	NA
Lang	baseline	-0.16751897863113	0.0257744632023811	236.899632868787	-0.218295400402246	-0.116742556860014	27	NA
MD	baseline	-0.157014576008882	0.0329101401077057	487.109343877509	-0.221677933230041	-0.0923512187877222	27	NA
Alice	critical	0.0195781162790699	0.0353901299256792	569.751150480256	-0.0499329257682014	0.0890891583263412	27	NA
Lang	critical	0.0444197747320986	0.0257744632023811	236.899632868787	-0.00635664703901718	0.0951961965032143	27	NA
MD	critical	-0.19619680458031	0.0329101401077057	487.109343877509	-0.26086016180147	-0.131533447359151	27	NA
Alice	baseline	-0.0234771627906971	0.0336304700472978	451.607906140165	-0.0895687982094723	0.042614472628078	28	NA
Lang	baseline	0.128683337565803	0.0256541709864449	192.64900479839	0.0780842218605233	0.179282453271082	28	NA
MD	baseline	-0.0108219969497025	0.0315353400225327	379.348890918645	-0.0728279549573862	0.0511839610579813	28	NA
Alice	critical	0.327373418604652	0.0336304700472978	451.607906140195	0.261281783185877	0.393465054023427	28	NA
Lang	critical	0.390080419013766	0.0256541709864449	192.649004798393	0.339481303308487	0.440679534719046	28	NA
MD	critical	-0.0923452731401788	0.0315353400225327	379.348890918645	-0.154351231147863	-0.0303393151324951	28	NA
