contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice baseline	0.997206960271783	0.0619520673189517	Inf	16.0964275031824	2.70265457956299e-58	1	NA
Alice critical	2.37180999515587	0.0619520673189645	Inf	38.2845980416512	0	1	NA
Language baseline	0.487372482428363	0.0195167550416166	Inf	24.9720038699627	1.2318599523205e-137	1	NA
Language critical	1.73935069688134	0.0195167550416166	Inf	89.1208960286908	0	1	NA
MD baseline	-0.0877485944241729	0.0292443177143997	Inf	-3.00053484855166	0.00269505912940712	1	NA
MD critical	-0.279053767652523	0.0292443177143997	Inf	-9.54215346645335	1.39896649461316e-21	1	NA
Alice baseline	1.11700084391457	0.0496810185254915	Inf	22.4834529779504	6.02647349743694e-112	2	NA
Alice critical	2.55124807647237	0.0496810185254932	Inf	51.3525719116091	0	2	NA
Language baseline	0.196631200896045	0.0148840710447078	Inf	13.2108480472457	7.59637414612607e-40	2	NA
Language critical	1.26989442021194	0.0148840710447078	Inf	85.3190243715922	0	2	NA
MD baseline	-0.219451581598392	0.0230243243916517	Inf	-9.53129298673198	1.5533628693077e-21	2	NA
MD critical	-0.459379561913362	0.0230243243916517	Inf	-19.9519236308157	1.44231073722521e-88	2	NA
Alice baseline	0.741132131235505	0.0903038517851327	Inf	8.20709323671975	2.26607596420299e-16	3	NA
Alice critical	1.80259986379457	0.0903038517851381	Inf	19.9614947553238	1.19096171190353e-88	3	NA
Language baseline	1.13298207547789	0.0311811701595667	Inf	36.3354572544891	4.45944149694086e-289	3	NA
Language critical	2.50125539392119	0.0311811701595665	Inf	80.216854631217	0	3	NA
MD baseline	0.839187007210691	0.0442051877501816	Inf	18.9839032457733	2.31724191658887e-80	3	NA
MD critical	1.01638489106896	0.0442051877501816	Inf	22.9924346620333	5.54885005680083e-117	3	NA
Alice baseline	1.33231792061117	0.0601616945339336	Inf	22.1456182531508	1.14972914168444e-108	4	NA
Alice critical	2.44220319968071	0.0601616945339325	Inf	40.5939895576454	0	4	NA
Language baseline	0.387450116310055	0.0194434349210077	Inf	19.9270405606899	2.37178720774534e-88	4	NA
Language critical	1.12144483019895	0.0194434349210077	Inf	57.6773000632356	0	4	NA
MD baseline	-0.0246652528106119	0.0286339729892881	Inf	-0.861398200656233	0.389018766729441	4	NA
MD critical	-0.154952847298802	0.028633972989288	Inf	-5.41150357852088	6.24977453007243e-08	4	NA
Alice baseline	1.33314582730548	0.0558489558617907	Inf	23.8705595607663	6.19492404299189e-126	5	NA
Alice critical	2.79868618777044	0.0558489558617899	Inf	50.1117011873308	0	5	NA
Language baseline	0.0732794227424536	0.017349683770714	Inf	4.22367483528134	2.4035075547043e-05	5	NA
Language critical	0.882629347654738	0.0173496837707139	Inf	50.8729357444893	0	5	NA
MD baseline	-0.287768938638819	0.0261721306156422	Inf	-10.9952431028611	4.02826559387603e-28	5	NA
MD critical	-0.552461239819923	0.0261721306156422	Inf	-21.108760610026	6.60829479166019e-99	5	NA
Alice baseline	0.856151512806193	0.0797780608795566	Inf	10.7316661168131	7.22810190713497e-27	6	NA
Alice critical	2.11596238489936	0.0797780608795575	Inf	26.5231112610505	5.24748862682039e-155	6	NA
Language baseline	0.613303665820427	0.0245643668363901	Inf	24.9672083919487	1.38882466156541e-137	6	NA
Language critical	1.89794502408011	0.0245643668363901	Inf	77.2641540781934	0	6	NA
MD baseline	0.087588073951169	0.0373171836228292	Inf	2.34712444637933	0.0189189346945203	6	NA
MD critical	0.139419024738574	0.0373171836228293	Inf	3.73605431073536	0.000186930311434424	6	NA
Alice baseline	0.920943149365706	0.0681909703447566	Inf	13.5053533438467	1.45414399799514e-41	7	NA
Alice critical	2.16736225401665	0.0681909703447444	Inf	31.7837133429747	1.08692847380477e-221	7	NA
Language baseline	0.14721733271049	0.0196835211279937	Inf	7.47921734903008	7.47665315834313e-14	7	NA
Language critical	0.907064278366689	0.0196835211279937	Inf	46.0824195258781	0	7	NA
MD baseline	-0.0430937564796486	0.0310569686487372	Inf	-1.38757123939077	0.165267644292878	7	NA
MD critical	-0.231172648211927	0.0310569686487373	Inf	-7.44350328670363	9.80496619066076e-14	7	NA
Alice baseline	0.520350820887531	0.0841619121996996	Inf	6.18273524552106	6.30003258024491e-10	8	NA
Alice critical	1.09405051856192	0.0841619121996953	Inf	12.9993543393597	1.23380540615377e-38	8	NA
Language baseline	0.743861473311535	0.0279752047002445	Inf	26.5900278937024	8.85290633707102e-156	8	NA
Language critical	1.69950955742693	0.0279752047002446	Inf	60.7505673555295	0	8	NA
MD baseline	0.414039369672575	0.0405121226804496	Inf	10.2201351664148	1.61116063818721e-24	8	NA
MD critical	0.487458025184384	0.0405121226804496	Inf	12.0323990186676	2.40081679823613e-33	8	NA
Alice baseline	0.313798929021871	0.0362419373412697	Inf	8.65844797608376	4.78230810072295e-18	10	NA
Alice critical	0.603750173207904	0.0362419373412704	Inf	16.6588824301174	2.60853166378627e-62	10	NA
Language baseline	0.137595655139867	0.0103295550382592	Inf	13.3205791179032	1.75738992743018e-40	10	NA
Language critical	0.556648122228006	0.0103295550382592	Inf	53.8888771264844	0	10	NA
MD baseline	-0.0119678211940775	0.0164340779733034	Inf	-0.728231983170504	0.46647159055698	10	NA
MD critical	-0.0742146578082515	0.0164340779733034	Inf	-4.51590030963773	6.30483215409408e-06	10	NA
Alice baseline	0.713665315712188	0.0771996555198913	Inf	9.24441062471198	2.36540686653271e-20	11	NA
Alice critical	1.74459357152616	0.0771996555198847	Inf	22.5984631638258	4.48718219520637e-113	11	NA
Language baseline	0.439297780452889	0.0231405994377261	Inf	18.9838548320707	2.31937850861225e-80	11	NA
