contrast	estimate	se	df	z_ratio	p_value	roi	atlas
criticalAlice vs. criticalLang	0.632459298274533	0.0606054612520903	Inf	10.4356816235388	1.70386468811713e-25	5	GSS
criticalAlice vs. criticalMD	2.65086376280839	0.0636231499798852	Inf	41.6650820282629	0	5	GSS
criticalLang vs. criticalMD	2.01840446453386	0.0257504222481181	Inf	78.3833540702957	0	5	GSS
criticalAlice vs. criticalLang	1.28135365626043	0.048856177984533	Inf	26.227054778335	1.3061925724937e-151	4	GSS
criticalAlice vs. criticalMD	3.01062763838573	0.0513080604336055	Inf	58.6774789953636	0	4	GSS
criticalLang vs. criticalMD	1.7292739821253	0.0207776314159042	Inf	83.227676317409	0	4	GSS
criticalAlice vs. criticalLang	-0.698655530126612	0.0873805445162844	Inf	-7.99555019935141	1.28996505151321e-15	3	GSS
criticalAlice vs. criticalMD	0.78621497272561	0.091674220932184	Inf	8.57618384678952	9.80727434121145e-18	3	GSS
criticalLang vs. criticalMD	1.48487050285222	0.0371155440653427	Inf	40.0067017807438	0	3	GSS
criticalAlice vs. criticalLang	1.32075836948175	0.0587336533537267	Inf	22.4872503933548	5.53232172992003e-112	10	GSS
criticalAlice vs. criticalMD	2.59715604697951	0.0616270461006551	Inf	42.1431207774844	0	10	GSS
criticalLang vs. criticalMD	1.27639767749776	0.0250265444190579	Inf	51.0017546220153	0	10	GSS
criticalAlice vs. criticalLang	1.9160568401157	0.0547745157640146	Inf	34.9808083812309	4.40579592093961e-268	9	GSS
criticalAlice vs. criticalMD	3.35114742759036	0.0574849571181236	Inf	58.2960759752194	0	9	GSS
criticalLang vs. criticalMD	1.43509058747466	0.0233691471223183	Inf	61.4096261178528	0	9	GSS
criticalAlice vs. criticalLang	0.21801736081925	0.0782582244280597	Inf	2.78587154784819	0.00533840215273627	2	GSS
criticalAlice vs. criticalMD	1.97654336016079	0.0821643518837016	Inf	24.0559721442026	7.22898560303637e-128	2	GSS
criticalLang vs. criticalMD	1.75852599934154	0.033304332091854	Inf	52.8017194427287	0	2	GSS
criticalAlice vs. criticalLang	1.26029797564996	0.0674445737633402	Inf	18.6864250943639	6.38507704284539e-78	17	GSS
