contrast	estimate	se	df	z_ratio	p_value	roi	atlas
MD critical vs. baseline	-0.121929553999999	0.0204774988075999	Inf	-5.95431869612644	2.61157459234119e-09	11	GSS
Alice critical vs. baseline	0.196611174418657	0.0449460774678222	Inf	4.37437893349903	1.21778684065655e-05	23	GSS
Lang critical vs. baseline	0.212923673594708	0.00905900694499369	Inf	23.5040854795212	3.70467893122402e-122	23	GSS
MD critical vs. baseline	0.00505102559055129	0.0184930764687598	Inf	0.273130628053366	0.784752803715577	23	GSS
Alice critical vs. baseline	0.72615577906989	0.109917873613019	Inf	6.60634849639126	3.93914992692696e-11	7	GSS
Lang critical vs. baseline	0.676035187728563	0.0205476300109752	Inf	32.9008838181079	2.13480747861446e-237	7	GSS
MD critical vs. baseline	0.184969801181102	0.0452257406325225	Inf	4.08992309676157	4.31516240402411e-05	7	GSS
Alice critical vs. baseline	0.305382139534936	0.0598834017106645	Inf	5.09961242700331	3.40349663947074e-07	14	GSS
Lang critical vs. baseline	0.380590464049402	0.0116635277848197	Inf	32.6308190001268	1.49955263583621e-233	14	GSS
MD critical vs. baseline	-0.253385179133856	0.0246390428138616	Inf	-10.2838889094873	8.3297226276947e-25	14	GSS
Alice critical vs. baseline	0.141886116279114	0.0671209406881904	Inf	2.11388748167646	0.0345248786786968	15	GSS
Lang critical vs. baseline	0.243422225592416	0.0135508342266523	Inf	17.9636339372851	3.75406243454813e-72	15	GSS
MD critical vs. baseline	-0.23289561417323	0.0276169303025496	Inf	-8.43307390147298	3.36701926182045e-17	15	GSS
Alice critical vs. baseline	0.0994443372092975	0.0430128024684547	Inf	2.31197065762523	0.0207793003627438	13	GSS
Lang critical vs. baseline	0.218175236096538	0.00913661904262686	Inf	23.8792090464363	5.03726744070014e-126	13	GSS
MD critical vs. baseline	-0.0578969074803143	0.0176976299156305	Inf	-3.27144977922608	0.00106997590330504	13	GSS
Alice critical vs. baseline	0.35085058139536	0.041025027234932	Inf	8.55211087091291	1.20857601732046e-17	12	GSS
Lang critical vs. baseline	0.279247177145709	0.00849863632151121	Inf	32.8578805565425	8.78989391010356e-237	12	GSS
MD critical vs. baseline	-0.0591300472440942	0.0168797592255238	Inf	-3.50301485075001	0.000460023814770461	12	GSS
