task	condition	emmean	se	df	lowCI	highCI	roi	atlas
Alice	baseline	0.997206960271783	0.0619520673189517	Inf	0.875783139558837	1.11863078098473	5	GSS
Lang	baseline	0.487372482428363	0.0195167550416166	Inf	0.449120345451704	0.525624619405022	5	GSS
MD	baseline	-0.0877485944241729	0.0292443177143997	Inf	-0.145066403896843	-0.0304307849515028	5	GSS
Alice	critical	2.37180999515587	0.0619520673189645	Inf	2.2503861744429	2.49323381586884	5	GSS
Lang	critical	1.73935069688134	0.0195167550416166	Inf	1.70109855990468	1.777602833858	5	GSS
MD	critical	-0.279053767652523	0.0292443177143997	Inf	-0.336371577125193	-0.221735958179852	5	GSS
Alice	baseline	1.11700084391457	0.0496810185254915	Inf	1.01962783688934	1.2143738509398	4	GSS
Lang	baseline	0.196631200896045	0.0148840710447078	Inf	0.167458957705082	0.225803444087008	4	GSS
MD	baseline	-0.219451581598392	0.0230243243916517	Inf	-0.264578428174396	-0.174324735022387	4	GSS
Alice	critical	2.55124807647237	0.0496810185254932	Inf	2.45387506944714	2.6486210834976	4	GSS
Lang	critical	1.26989442021194	0.0148840710447078	Inf	1.24072217702098	1.2990666634029	4	GSS
MD	critical	-0.459379561913362	0.0230243243916517	Inf	-0.504506408489366	-0.414252715337357	4	GSS
Alice	baseline	0.741132131235505	0.0903038517851327	Inf	0.564139834071402	0.918124428399608	3	GSS
Lang	baseline	1.13298207547789	0.0311811701595667	Inf	1.07186810496932	1.19409604598645	3	GSS
MD	baseline	0.839187007210691	0.0442051877501816	Inf	0.752546431290504	0.925827583130878	3	GSS
Alice	critical	1.80259986379457	0.0903038517851381	Inf	1.62560756663046	1.97959216095869	3	GSS
Lang	critical	2.50125539392119	0.0311811701595665	Inf	2.44014142341262	2.56236936442975	3	GSS
MD	critical	1.01638489106896	0.0442051877501816	Inf	0.929744315148777	1.10302546698915	3	GSS
Alice	baseline	1.33231792061117	0.0601616945339336	Inf	1.21440316607576	1.45023267514658	10	GSS
Lang	baseline	0.387450116310055	0.0194434349210077	Inf	0.349341684129132	0.425558548490979	10	GSS
MD	baseline	-0.0246652528106119	0.0286339729892881	Inf	-0.0807868086039093	0.0314563029826854	10	GSS
Alice	critical	2.44220319968071	0.0601616945339325	Inf	2.3242884451453	2.56011795421612	10	GSS
Lang	critical	1.12144483019895	0.0194434349210077	Inf	1.08333639801803	1.15955326237988	10	GSS
MD	critical	-0.154952847298802	0.028633972989288	Inf	-0.2110744030921	-0.0988312915055052	10	GSS
Alice	baseline	1.33314582730548	0.0558489558617907	Inf	1.22368388524221	1.44260776936876	9	GSS
Lang	baseline	0.0732794227424536	0.017349683770714	Inf	0.0392746674086952	0.107284178076212	9	GSS
MD	baseline	-0.287768938638819	0.0261721306156422	Inf	-0.339065372044156	-0.236472505233482	9	GSS
Alice	critical	2.79868618777044	0.0558489558617899	Inf	2.68922424570717	2.90814812983372	9	GSS
Lang	critical	0.882629347654738	0.0173496837707139	Inf	0.84862459232098	0.916634102988497	9	GSS
MD	critical	-0.552461239819923	0.0261721306156422	Inf	-0.60375767322526	-0.501164806414587	9	GSS
Alice	baseline	0.856151512806193	0.0797780608795566	Inf	0.699789386725818	1.01251363888657	2	GSS
Lang	baseline	0.613303665820427	0.0245643668363901	Inf	0.565158391518073	0.661448940122782	2	GSS
MD	baseline	0.087588073951169	0.0373171836228292	Inf	0.0144477380459557	0.160728409856382	2	GSS
Alice	critical	2.11596238489936	0.0797780608795575	Inf	1.95960025881899	2.27232451097974	2	GSS
Lang	critical	1.89794502408011	0.0245643668363901	Inf	1.84979974977776	1.94609029838247	2	GSS
MD	critical	0.139419024738574	0.0373171836228293	Inf	0.0662786888333609	0.212559360643788	2	GSS
Alice	baseline	0.920943149365706	0.0681909703447566	Inf	0.787291303419144	1.05459499531227	17	GSS
Lang	baseline	0.14721733271049	0.0196835211279937	Inf	0.10863834021069	0.185796325210291	17	GSS
MD	baseline	-0.0430937564796486	0.0310569686487372	Inf	-0.103964296500163	0.0177767835408659	17	GSS
Alice	critical	2.16736225401665	0.0681909703447444	Inf	2.03371040807011	2.30101409996319	17	GSS
Lang	critical	0.907064278366689	0.0196835211279937	Inf	0.868485285866888	0.94564327086649	17	GSS
MD	critical	-0.231172648211927	0.0310569686487373	Inf	-0.292043188232442	-0.170302108191413	17	GSS
Alice	baseline	0.520350820887531	0.0841619121996996	Inf	0.355396504106098	0.685305137668965	22	GSS
Lang	baseline	0.743861473311535	0.0279752047002445	Inf	0.68903107963892	0.798691866984149	22	GSS
MD	baseline	0.414039369672575	0.0405121226804496	Inf	0.334637068281625	0.493441671063524	22	GSS
Alice	critical	1.09405051856192	0.0841619121996953	Inf	0.929096201780493	1.25900483534334	22	GSS
Lang	critical	1.69950955742693	0.0279752047002446	Inf	1.64467916375432	1.75433995109955	22	GSS
MD	critical	0.487458025184384	0.0405121226804496	Inf	0.408055723793435	0.566860326575333	22	GSS
Alice	baseline	0.313798929021871	0.0362419373412697	Inf	0.242766037103025	0.384831820940716	24	GSS
Lang	baseline	0.137595655139867	0.0103295550382592	Inf	0.117350099288555	0.15784121099118	24	GSS
MD	baseline	-0.0119678211940775	0.0164340779733034	Inf	-0.0441780221408752	0.0202423797527203	24	GSS
Alice	critical	0.603750173207904	0.0362419373412704	Inf	0.532717281289057	0.674783065126751	24	GSS
Lang	critical	0.556648122228006	0.0103295550382592	Inf	0.536402566376694	0.576893678079319	24	GSS
MD	critical	-0.0742146578082515	0.0164340779733034	Inf	-0.106424858755049	-0.0420044568614538	24	GSS
Alice	baseline	0.713665315712188	0.0771996555198913	Inf	0.562356771274302	0.864973860150074	1	GSS
Lang	baseline	0.439297780452889	0.0231405994377261	Inf	0.393943038974278	0.4846525219315	1	GSS
MD	baseline	-0.339685962259628	0.0357190760363538	Inf	-0.409694064851929	-0.269677859667327	1	GSS
Alice	critical	1.74459357152616	0.0771996555198847	Inf	1.59328502708828	1.89590211596403	1	GSS
Lang	critical	1.51683742882759	0.0231405994377262	Inf	1.47148268734898	1.5621921703062	1	GSS
MD	critical	-0.551326304779315	0.0357190760363538	Inf	-0.621334407371616	-0.481318202187013	1	GSS
Alice	baseline	0.414430876433224	0.0352897213582652	Inf	0.345264293546571	0.483597459319878	25	GSS
Lang	baseline	0.343486957500565	0.0125010578116671	Inf	0.318985334421044	0.367988580580086	25	GSS
MD	baseline	0.204925254229442	0.0173523082944911	Inf	0.170915354923604	0.238935153535281	25	GSS
Alice	critical	0.658203829921604	0.0352897213582629	Inf	0.589037247034955	0.727370412808254	25	GSS
Lang	critical	0.730877129984336	0.0125010578116671	Inf	0.706375506904815	0.755378753063856	25	GSS
MD	critical	0.278462413992755	0.0173523082944911	Inf	0.244452514686917	0.312472313298594	25	GSS
Alice	baseline	0.0163576296923666	0.0952352467928619	Inf	-0.170300024080426	0.20301528346516	19	GSS
Lang	baseline	0.307774906407421	0.0336544751531382	Inf	0.241813347188672	0.37373646562617	19	GSS
MD	baseline	1.55098119817373	0.0467611803395733	Inf	1.45933096883359	1.64263142751388	19	GSS
Alice	critical	0.0532096064365412	0.095235246792868	Inf	-0.133448047336264	0.239867260209346	19	GSS
Lang	critical	0.683527978789148	0.0336544751531383	Inf	0.617566419570399	0.749489538007897	19	GSS
MD	critical	1.94422241864619	0.0467611803395734	Inf	1.85257218930604	2.03587264798633	19	GSS
Alice	baseline	-0.0742676658496596	0.104677802599162	Inf	-0.27943238892481	0.130897057225491	18	GSS
